firm_name,prj_code,date_start_prj,date_end_prj,KPI_id,index_KPI,date_obs,performance,target,KPI_des,KPI_area,baseline,impatto_eco,target_achievement
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170271,05/07/2023,6.372357446,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.009291313
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170272,07/07/2023,5.74904946,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.540638692
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170273,10/07/2023,9.622971451,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-3.453361993
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170274,12/07/2023,6.629200656,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.202406508
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170275,14/07/2023,5.635166474,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.455012386
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170276,17/07/2023,8.362453241,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-2.50560394
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170277,19/07/2023,6.459013387,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.074446156
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170278,21/07/2023,5.369673148,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.255393344
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170279,24/07/2023,5.216602971,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.140302985
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170280,26/07/2023,3.962396759,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.802709204
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170281,28/07/2023,4.431325579,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.450131144
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170282,31/07/2023,3.414968904,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.214309094
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170283,02/08/2023,3.099530826,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.451480582
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170284,04/08/2023,6.613330478,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.190474044
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170285,07/08/2023,12.57531346,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-5.673168018
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170286,09/08/2023,11.90592982,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-5.169872047
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170287,11/08/2023,13.17518102,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-6.124196255
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170288,21/08/2023,7.417778395,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.795322102
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170289,23/08/2023,6.509804552,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-1.112635002
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170290,25/08/2023,4.57642338,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.341035053
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170291,28/08/2023,5.059539969,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.022210503
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170292,30/08/2023,4.780949344,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.187256132
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170293,01/09/2023,5.644808951,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.462262369
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170294,06/09/2023,3.975919174,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.792541974
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170295,08/09/2023,5.333339738,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.228074991
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170296,13/09/2023,3.577764043,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.091906734
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170297,15/09/2023,4.886870756,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.107615973
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170298,18/09/2023,4.78423966,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",0.18478221
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_170299,20/09/2023,5.509193866,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.36029614
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_1702100,22/09/2023,5.331111613,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",-0.226399709
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_1702101,27/09/2023,2.37787311,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.994080369
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_1702102,29/09/2023,2.481601813,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.916088862
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_1702103,02/10/2023,2.495967747,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",1.905287408
1,C23_170,05/06/2023,31/12/2923,C23_1702,C23_1702104,04/10/2023,1.38353858,3.7,PLT (Proces LIT time) proiezioni,EFFICIENCY,5.03," 105,831.00 € ",2.741700316
1,C23_170,05/06/2023,31/12/2923,C23_1703,C23_17031,01/08/2023,0.58157756,0.7,Produttività Media,PRODUCTIVITY,0.59," 182,397.00 € ",-0.076567636
